,p_val,avg_logFC,pct.1,pct.2,p_val_adj,gene
FBgn0025682,0,-1.359871832,0.784,0.857,0,scf
FBgn0034010,0,-1.362788975,0.863,0.889,0,CG8157
FBgn0010225,0,-1.410370048,0.844,0.912,0,Gel
FBgn0029092,0,-1.42723558,0.672,0.847,0,ced-6
FBgn0031453,0,-1.427799621,0.892,0.94,0,Bacc
FBgn0022893,0,-1.473042655,0.865,0.934,0,Df31
FBgn0041629,0,-1.520111021,0.922,0.975,0,Hexo2
FBgn0265048,0,-1.549675355,0.734,0.901,0,cv-d
FBgn0010228,0,-1.610635019,0.714,0.866,0,HmgZ
FBgn0250848,0,-1.615536387,0.865,0.96,0,26-29-p
FBgn0014388,0,-1.618644102,0.692,0.848,0,sty
FBgn0027598,0,-1.675525871,0.816,0.922,0,cindr
FBgn0243514,0,-1.695438489,0.818,0.91,0,eater
FBgn0045823,0,-1.751510042,0.948,0.991,0,vsg
FBgn0030993,0,-1.754171404,0.849,0.937,0,Mec2
FBgn0004167,0,-1.754189735,0.781,0.917,0,kst
FBgn0016075,0,-1.776325468,0.84,0.91,0,vkg
FBgn0004449,0,-1.776886526,0.715,0.881,0,Ten-m
FBgn0259740,0,-1.780641442,0.859,0.947,0,CG42394
FBgn0261628,0,-1.785278011,0.715,0.932,0,CG42711
FBgn0028542,0,-1.820562437,0.836,0.927,0,NimB4
FBgn0003495,0,-1.836189127,0.782,0.923,0,spz
FBgn0267348,0,-1.880946858,0.823,0.936,0,LanB2
FBgn0051777,0,-1.934784523,0.848,0.963,0,CG31777
