FB_ID,waspvcontrol,waspvoil
FBgn0051549,0.130797527,0.168052228
FBgn0037354,-0.469271455,-0.337161319
FBgn0037356,-0.405083758,-0.452842445
FBgn0046222,-0.009954551,0.028243701
FBgn0037363,-0.161050788,-0.039172967
FBgn0037370,0.04620042,0.258454376
FBgn0027497,0.023402367,0.058121232
FBgn0037371,-0.103433926,-0.258029765
FBgn0037369,0.215061959,-0.16023509
FBgn0010772,0.064887419,-0.177277262
FBgn0037360,-0.068110734,-0.15175984
FBgn0037358,-0.106965293,-0.170913521
FBgn0027951,0.077440575,-0.011760276
FBgn0051548,-0.40134884,-0.28270323
FBgn0017550,0.029484156,-0.146821957
FBgn0014366,-0.090254526,-0.04394869
FBgn0037344,0.05088054,-0.071373592
FBgn0037342,-0.236438347,-0.137008892
FBgn0037340,-0.246876338,0.085207074
FBgn0037339,0.09098707,-0.1474215
FBgn0037336,0.232461972,-0.2533429
FBgn0037330,-0.37518822,-0.190445722
FBgn0037328,-0.186159677,0.114000508
FBgn0037327,-0.062120314,-0.027306574
FBgn0037297,-0.059109942,-0.124358647
FBgn0037299,-0.076782512,-0.207366628
FBgn0037301,-0.15616441,-0.213945993
FBgn0003275,-0.175231003,0.210567574
FBgn0037315,-0.288982889,-0.432863857
FBgn0037312,-0.222834876,0.132602746
FBgn0037305,-0.318003984,-0.243789822
FBgn0260462,0.16277487,-0.063884458
FBgn0040208,0.055265926,-0.35447746
FBgn0037298,0.001195513,0.012598488
FBgn0004913,-0.051885172,-0.275079431
FBgn0037293,-0.10261509,-0.082464289
FBgn0010313,-0.197558177,0.241864696
FBgn0004436,0.012837084,-0.147442331
FBgn0010750,-0.106604043,-0.169113562
FBgn0037279,-0.085149137,-0.016504383
FBgn0037282,0.038443823,-0.59932403
FBgn0027570,-0.266396814,-0.262286042
FBgn0037270,-0.219142451,0.101248877
FBgn0037261,-0.101122375,-0.145721594
FBgn0037232,-0.195735454,-0.08304313
FBgn0037239,-0.067303623,0.001415225
FBgn0037240,-0.059246967,-0.198984286
FBgn0003882,-0.086329879,-0.007699446
FBgn0037241,0.126630623,0.147666659
FBgn0037252,0.148698231,-0.100909131
FBgn0037255,-0.157915965,-0.063269274
FBgn0051523,0.214593859,0.018081078
FBgn0051522,-0.128576383,0.075956796
FBgn0037249,-0.133681142,0.064263718
FBgn0037248,0.044393941,0.238086349
FBgn0037236,-0.048020492,-0.051200356
FBgn0037215,0.088029053,0.215123054
